mukey,gSSURGOversion,MUsymbol,WTDepAprJun,FloodFreq,PondFreq,DrainCls,DrainClsWet,HydroGrp,Hydric,OCProdIdx,OCprodIdxSrc,NCCPIall,RootZnDepth,RootZnAWS,Droughty,PotWetandSoil
1589373,10/1/2024,CpC2,69,None,0,Moderately well drained,Moderately well drained,C,0,65,mutext.textcat=PI (OH),0.555,150,230,0,NULL
1589374,10/1/2024,GbB,NULL,None,0,Well drained,Well drained,C,0,63,mutext.textcat=PI (OH),0.5,76,121,1,NULL
1589375,10/1/2024,GgD2,69,None,0,Moderately well drained,Moderately well drained,C,0,51,mutext.textcat=PI (OH),0.555,150,219,0,NULL
1589377,10/1/2024,Ho,31,Occasional,0,Somewhat poorly drained,Somewhat poorly drained,B/D,5,72,mutext.textcat=PI (OH),0.872,150,267,0,5
1589378,10/1/2024,KcB,69,None,0,Moderately well drained,Moderately well drained,C,0,66,mutext.textcat=PI (OH),0.788,150,231,0,NULL
1589379,10/1/2024,LwD,NULL,None,0,Moderately well drained,Moderately well drained,C,0,57,mutext.textcat=PI (OH),0.534,121,188,0,NULL
1589380,10/1/2024,AbB,NULL,None,0,Moderately well drained,Moderately well drained,C/D,0,69,mutext.textcat=PI (OH),0.686,133,165,0,NULL
1589381,10/1/2024,AnC2,NULL,None,0,Moderately well drained,Moderately well drained,D,0,62,mutext.textcat=PI (OH),0.61,142,220,0,NULL
1589382,10/1/2024,BfD,NULL,None,0,Well drained,Well drained,B,0,44,mutext.textcat=PI (OH),0.379,73,84,1,NULL
1589383,10/1/2024,BrC,NULL,None,0,Well drained,Well drained,B,0,52,mutext.textcat=PI (OH),0.34,71,55,1,NULL
1589385,10/1/2024,CbA,53,None,0,Somewhat poorly drained,Somewhat poorly drained,D,15,57,mutext.textcat=PI (OH),0.764,150,203,0,15
1589386,10/1/2024,ChC,69,None,0,Moderately well drained,Moderately well drained,C/D,0,67,mutext.textcat=PI (OH),0.545,147,208,0,NULL
1589388,10/1/2024,GeC,84,None,0,Moderately well drained,Moderately well drained,C,5,71,mutext.textcat=PI (OH),0.798,150,241,0,5
1589389,10/1/2024,GrD2,69,None,0,Moderately well drained,Moderately well drained,C,0,50,mutext.textcat=PI (OH),0.47,150,187,0,NULL
1589391,10/1/2024,KdB,69,None,0,Moderately well drained,Moderately well drained,C,0,68,mutext.textcat=PI (OH),0.866,150,251,0,NULL
1589392,10/1/2024,UrC2,NULL,None,0,Well drained,Well drained,C,0,53,mutext.textcat=PI (OH),0.569,150,175,0,NULL
1589393,10/1/2024,WeC,NULL,None,0,Well drained,Well drained,B,0,66,mutext.textcat=PI (OH),0.567,127,176,0,NULL
1589395,10/1/2024,CuB,NULL,None,0,Well drained,Well drained,B,0,67,mutext.textcat=PI (OH),0.671,150,126,1,NULL
1589396,10/1/2024,CpD,69,None,0,Moderately well drained,Moderately well drained,C/D,0,54,mutext.textcat=PI (OH),0.453,147,208,0,NULL
1589397,10/1/2024,GaC,NULL,None,0,Well drained,Well drained,C,0,59,mutext.textcat=PI (OH),0.472,76,121,1,NULL
1589399,10/1/2024,JbA,53,None,0,Somewhat poorly drained,Somewhat poorly drained,B/D,5,67,mutext.textcat=PI (OH),0.74,150,182,0,5
